data,vp_cota,patrimonio_liquido,n_cotas,caixa_liquido,fonte_doc_id
2017-03,2536.7712,604961582.37,238477.0,10911447.0,11673
2017-06,2616.5591,623989165.6,238477.0,11220854.64,14665
2017-09,2617.3306,624173156.38,238477.0,11618056.1,17593
2017-12,2662.6239,634974565.41,238477.0,12036229.72,21146
2018-03,2669.0508,636507234.95,238477.0,11872866.9,25045
2018-06,2767.4935,659983543.45,238477.0,12805455.18,29085
2018-09,2771.1298,660850720.83,238477.0,13462166.61,34017
2018-12,2940.4033,701218565.71,238477.0,9637891.07,39299
2019-03,2943.457,701946783.98,238477.0,9658999.75,46541
2019-06,2944.4857,702192124.21,238477.0,10339778.09,53429
2019-09,2944.7025,702243828.59,238477.0,10904872.36,61986
2019-12,3389.0658,808214251.36,238477.0,11655552.11,76833
2020-03,3400.3694,810909891.25,238477.0,9636927.12,91337
2020-06,3396.4351,809971641.78,238477.0,5281672.47,107336
2020-09,3481.0452,830149215.36,238477.0,9415407.61,122103
2020-12,3600.5475,858647769.37,238477.0,10378171.51,140750
2021-03,3598.6656,858198969.76,238477.0,9457527.96,165519
2021-06,3633.071,866403867.62,238477.0,4743040.33,195632
2021-08,3631.5792,866048114.27,238477.0,7634245.07,221885
2021-12,3406.6766,812414024.2,238477.0,8891139.74,257543
2022-03,3356.5807,800467303.08,238477.0,7631239.87,289228
2022-06,3321.1982,815397327.57,245513.0,17992541.34,327616
2022-09,3313.0082,813386589.94,245513.0,16754319.15,365824
2022-12,3132.1995,768995698.7,245513.0,16264958.74,402838
2023-03,3122.6416,766649103.56,245513.0,17860034.41,447327
2023-06,3121.6168,766397505.75,245513.0,15557972.72,493090
2023-09,3117.2749,765331518.81,245513.0,15854990.71,537513
2023-12,3420.7088,861344743.76,251803.0,22731094.62,585254
2024-03,3428.3777,863275800.04,251803.0,22293157.59,640632
2024-06,3463.5613,348299187.98,100561.0,11708987.46,699173
2024-09,3455.8034,347519041.51,100561.0,10340113.86,758873
2024-12,3337.503,335622637.05,100561.0,10411295.9,821346
2025-03,3350.3163,336911154.5,100561.0,9250282.02,881127
2025-06,3346.6129,336538742.69,100561.0,7274675.48,946969
2025-09,3302.96,350952708.68,106254.0,18067310.67,1014316
2025-12,42.8306,638058845.1,14897254.0,17829273.44,1085151
2026-03,2641.0363,571578351.46,216422.0,125312944.6,1164870
